provinces,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京,1025.51,964.62,887.37,855.67,742.05,681.18,628.65,520.08,450.22,365.67
天津,448.19,434.59,502.49,507.44,517.01,461.36,378.75,229.56,229.56,173.61
河北,1385.59,1276.55,1134.9,1041.16,868.87,837.63,865.54,652.11,514.3,439.33
山西,668.03,620.67,606.97,602.85,507.28,542.44,558.03,421.79,328.58,278.07
内蒙古,576.33,561.85,554.97,536.53,477.77,456.87,439.97,390.69,322.11,243.48
辽宁,653.88,648.06,633.96,610.24,604.49,669.48,728.79,544.09,405.39,346.73
吉林,513.82,508.09,499.7,477.57,407.1,422.09,451.05,319.82,250.2,216.99
黑龙江,544.38,573.11,558.87,549.66,505.94,501.28,544.79,373.83,299.14,266.61
上海,917.99,874.1,840.97,767.32,695.63,679.54,648.95,549.24,417.28,346.95
江苏,2055.56,1979.57,1842.94,1746.22,1504.86,1434.99,1350.61,1093.22,865.36,680.63
浙江,1572.47,1430.15,1300.03,1264.93,1030.99,950.07,877.86,751.42,606.54,519.33
安徽,1113.26,1014.91,910.87,856.73,743.07,736.59,717.94,564.71,386.31,323.79
福建,925.06,842.21,789.11,757.51,634.6,574.91,562.3,406.73,327.77,277.55
江西,1054.41,940.57,848.88,793.27,711.72,664.53,622.06,474.43,297.5,251.93
山东,2006.5,1890,1825.99,1690.62,1461.05,1399.67,1311.8,1047.9,770.45,613.49
河南,1664.67,1493.11,1343.76,1271,1201.38,1171.52,1106.51,857.14,609.37,526.14
湖北,1065.64,1101.35,1047.37,913.05,773.35,690.63,732.37,488.16,366.57,317.29
湖南,1186.72,1115.33,1032.37,928.54,833.27,809.45,807.58,540.83,403.1,357.58
广东,2792.9,2575.52,2318.47,2040.65,1808.97,1744.59,1501.22,1227.87,921.48,803.2
广西,933.22,920.2,854.55,789.69,660.53,609.93,589.24,456.89,366.84,296.6
海南,248.98,220.87,214.24,206.84,175.95,174.57,158.79,127.27,98.33,74.5
重庆,680.99,626.3,575.18,536.24,469.98,437.28,471.49,318.7,240.46,190.28
四川,1461.78,1389.2,1301.85,1252.33,1056.91,1036.41,993.2,684.66,540.65,451.44
贵州,985.95,901.96,843.54,772.91,637.03,560.67,500.51,376.86,292.06,256.72
云南,1077.43,998.33,871.14,767.46,674.94,685.97,674.82,483,374.79,308.18
西藏,232.15,227.2,169.64,167.27,142.08,107.18,94.48,77.81,60.8,61.04
陕西,871.44,828.25,777.53,758.07,693.83,710.11,703.34,529.46,377.79,310.96
甘肃,592.96,567.35,548.95,498.33,401.26,377.06,367.92,284.33,228.23,206.36
青海,199.1,187.51,171.36,163.19,156.31,121.51,171.81,130.11,82.47,61.82
宁夏,170.47,170.65,152.57,142.51,122.68,112.95,106.45,103.02,81.59,63.5
新疆,812.88,722.59,664.52,647.93,567.2,532.67,473.86,399.8,313.84,240.15
