provinces,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京,0.1,0.09,0.09,0.09,0.11,0.12,0.12,0.1,0.1,0.09
天津,0.07,0.05,0.05,0.04,0.05,0.04,0.05,0.03,0.04,0.02
河北,0.41,0.31,0.23,0.24,0.22,0.26,0.19,0.2,0.17,0.22
山西,0.27,0.25,0.21,0.16,0.14,0.11,0.12,0.13,0.11,0.13
内蒙古,0.21,0.23,0.16,0.16,0.12,0.07,0.09,0.09,0.06,0.06
辽宁,0.16,0.17,0.14,0.1,0.1,0.09,0.09,0.11,0.07,0.08
吉林,0.19,0.15,0.13,0.1,0.08,0.07,0.08,0.09,0.11,0.09
黑龙江,0.23,0.28,0.21,0.15,0.15,0.12,0.14,0.17,0.12,0.15
上海,0.11,0.12,0.1,0.1,0.12,0.11,0.12,0.12,0.12,0.12
江苏,0.48,0.43,0.4,0.38,0.34,0.35,0.35,0.37,0.48,0.45
浙江,0.35,0.31,0.26,0.24,0.24,0.28,0.27,0.22,0.19,0.16
安徽,0.5,0.5,0.37,0.51,0.27,0.21,0.22,0.17,0.22,0.24
福建,0.4,0.41,0.4,0.42,0.42,0.42,0.44,0.46,0.46,0.5
江西,0.62,0.6,0.63,0.47,0.39,0.33,0.41,0.36,0.36,0.38
山东,0.52,0.54,0.44,0.4,0.36,0.33,0.36,0.34,0.36,0.28
河南,0.99,0.65,0.51,0.39,0.36,0.33,0.3,0.32,0.32,0.31
湖北,0.29,0.23,0.24,0.2,0.21,0.18,0.15,0.16,0.2,0.22
湖南,0.73,0.63,0.54,0.46,0.29,0.22,0.18,0.24,0.22,0.22
广东,0.91,0.89,0.69,0.73,0.53,0.39,0.46,0.36,0.37,0.36
广西,0.75,0.46,0.33,0.27,0.27,0.21,0.25,0.24,0.24,0.24
海南,0.07,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.07,0.06
重庆,0.39,0.33,0.29,0.25,0.26,0.33,0.21,0.35,0.23,0.2
四川,1.03,1.04,0.96,0.81,0.8,0.82,0.84,0.68,0.67,0.65
贵州,0.61,0.53,0.44,0.49,0.28,0.27,0.29,0.29,0.28,0.26
云南,0.73,0.74,0.58,0.44,0.42,0.38,0.33,0.37,0.34,0.42
西藏,0.08,0.08,0.05,0.03,0.02,0.02,0.02,0.01,0,0
陕西,0.31,0.32,0.19,0.18,0.14,0.13,0.13,0.13,0.14,0.13
甘肃,0.31,0.25,0.22,0.18,0.13,0.14,0.14,0.15,0.21,0.2
青海,0.12,0.12,0.07,0.07,0.04,0.04,0.04,0.02,0.03,0.05
宁夏,0.1,0.1,0.07,0.08,0.05,0.03,0.04,0.02,0.02,0.02
新疆,0.34,0.25,0.15,0.14,0.13,0.15,0.11,0.09,0.19,0.09
