provinces,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京,21,21,22,22,22,22,22,21,21,24
天津,20,20,20,20,20,20,20,20,20,20
河北,162,161,160,159,157,155,151,148,149,144
山西,76,73,69,64,62,56,53,51,45,45
内蒙古,45,44,46,45,44,42,39,34,30,29
辽宁,79,75,75,73,74,74,74,74,74,75
吉林,50,50,49,47,47,47,46,46,45,45
黑龙江,72,73,73,73,74,74,74,73,74,72
上海,30,30,29,29,29,29,29,29,29,29
江苏,102,101,101,106,106,107,107,108,112,113
浙江,85,86,84,86,84,82,79,78,67,64
安徽,73,72,71,68,66,65,64,63,62,61
福建,72,71,71,73,74,73,73,71,71,73
江西,94,89,88,88,87,85,80,75,70,69
山东,149,147,146,147,145,144,145,146,145,144
河南,149,148,146,144,142,137,132,127,120,121
湖北,84,84,84,83,83,80,77,76,76,76
湖南,85,79,79,78,76,69,61,58,54,51
广东,135,133,127,116,104,99,94,80,75,69
广西,81,79,79,78,72,65,62,60,59,57
海南,11,7,7,7,7,7,4,3,3,4
重庆,38,36,36,36,36,36,36,36,36,36
四川,128,127,125,124,122,119,113,107,100,95
贵州,77,76,76,75,65,60,56,52,53,49
云南,65,64,61,60,59,53,47,30,26,25
西藏,5,5,5,5,5,5,3,2,2,1
陕西,65,58,56,55,52,50,46,44,40,39
甘肃,43,41,40,37,33,32,28,22,17,16
青海,15,16,15,15,14,12,11,11,11,10
宁夏,13,13,12,12,10,8,8,7,7,6
新疆,28,28,28,28,29,26,19,15,13,10
