provinces,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京,0.64,0.64,0.69,0.71,0.77,0.83,0.81,0.8,0.8,0.79
天津,0.45,0.4,0.35,0.33,0.3,0.3,0.3,0.26,0.26,0.25
河北,2.07,1.71,1.46,1.36,1.26,1.31,1.24,1.26,1.24,1.27
山西,1.44,1.27,1.08,0.92,0.82,0.71,0.79,0.83,0.82,0.88
内蒙古,1.18,1.11,0.94,0.83,0.62,0.43,0.45,0.43,0.4,0.41
辽宁,1.18,1.12,0.93,0.85,0.83,0.8,0.86,0.89,0.89,0.88
吉林,0.96,0.88,0.75,0.6,0.54,0.56,0.63,0.6,0.69,0.68
黑龙江,1.4,1.24,1.09,0.93,0.91,0.93,1.12,1.3,0.83,0.97
上海,0.74,0.74,0.75,0.77,0.79,0.81,0.81,0.83,0.88,0.9
江苏,3.12,2.75,2.47,2.31,2.24,2.31,2.47,2.55,2.97,3.1
浙江,1.95,1.85,1.67,1.62,1.59,1.63,1.44,1.3,1.3,1.23
安徽,3.15,2.74,2.09,1.93,1.43,1.03,1,1.26,1.4,1.51
福建,2.51,2.51,2.55,2.49,2.51,2.51,2.73,2.87,3.2,3.41
江西,3.38,3.03,2.8,2.38,1.98,1.71,2.15,2.26,2.37,2.3
山东,3.05,2.85,2.63,2.39,2.18,2.09,2.12,2.17,2.2,2.06
河南,4.39,3.07,2.39,2.01,1.83,1.67,1.67,1.95,2.19,2.11
湖北,1.62,1.4,1.18,1.11,1.11,1.06,1.06,1.29,1.53,1.4
湖南,3.65,3.12,2.57,2.25,1.57,1.01,1.02,1.27,1.32,1.4
广东,4.79,4.41,3.78,3.6,2.83,2.18,2.45,2.5,2.61,2.62
广西,3.36,2.21,1.59,1.4,1.32,1.29,1.43,1.39,1.58,1.62
海南,0.3,0.26,0.21,0.26,0.19,0.17,0.16,0.17,0.32,0.3
重庆,2.14,1.86,1.61,1.41,1.39,1.56,1.31,1.7,1.46,1.32
四川,5.69,5.35,4.78,4.33,4.23,4.37,4.43,4.09,4.18,4.18
贵州,3.11,2.58,2.02,1.79,1.35,1.27,1.37,1.45,1.62,1.65
云南,3.69,3.41,2.77,2.33,2.1,1.74,1.68,1.93,2.14,2.37
西藏,0.47,0.41,0.27,0.18,0.12,0.08,0.06,0.05,0.03,0.02
陕西,1.64,1.47,1.06,0.86,0.79,0.65,0.6,0.68,0.78,0.8
甘肃,1.58,1.35,1.14,0.93,0.76,0.84,0.83,0.95,1.34,1.37
青海,0.66,0.51,0.37,0.31,0.23,0.21,0.21,0.21,0.25,0.28
宁夏,0.6,0.53,0.44,0.39,0.31,0.19,0.2,0.15,0.15,0.15
新疆,1.7,1.13,0.75,0.65,0.59,0.52,0.49,0.47,0.81,0.6
