Provinces Name,Indicator Name,Year,Value
四川,财政教育支出(亿元）,2018,1461.78
四川,特殊教育学校(所),2018,128
四川,特殊教育专任教师数(万人),2018,0.3
四川,特殊教育招生数(万人),2018,1.03
四川,财政教育支出(亿元）,2017,1389.2
四川,特殊教育学校(所),2017,127
四川,特殊教育专任教师数(万人),2017,0.28
四川,特殊教育招生数(万人),2017,1.04
四川,财政教育支出(亿元）,2016,1301.85
四川,特殊教育学校(所),2016,125
四川,特殊教育专任教师数(万人),2016,0.25
四川,特殊教育招生数(万人),2016,0.96
四川,财政教育支出(亿元）,2015,1252.33
四川,特殊教育学校(所),2015,124
四川,特殊教育专任教师数(万人),2015,0.24
四川,特殊教育招生数(万人),2015,0.81
四川,财政教育支出(亿元）,2014,1056.91
四川,特殊教育学校(所),2014,122
四川,特殊教育专任教师数(万人),2014,0.22
四川,特殊教育招生数(万人),2014,0.8
四川,财政教育支出(亿元）,2013,1036.41
四川,特殊教育学校(所),2013,119
四川,特殊教育专任教师数(万人),2013,0.21
四川,特殊教育招生数(万人),2013,0.82
四川,财政教育支出(亿元）,2012,993.2
四川,特殊教育学校(所),2012,113
四川,特殊教育专任教师数(万人),2012,0.19
四川,特殊教育招生数(万人),2012,0.84
四川,财政教育支出(亿元）,2011,684.66
四川,特殊教育学校(所),2011,107
四川,特殊教育专任教师数(万人),2011,0.18
四川,特殊教育招生数(万人),2011,0.68
四川,财政教育支出(亿元）,2010,540.65
四川,特殊教育学校(所),2010,100
四川,特殊教育专任教师数(万人),2010,0.17
四川,特殊教育招生数(万人),2010,0.67
四川,财政教育支出(亿元）,2009,451.44
四川,特殊教育学校(所),2009,95
四川,特殊教育专任教师数(万人),2009,0.16
四川,特殊教育招生数(万人),2009,0.6
广东,财政教育支出(亿元）,2018,2792.9
广东,特殊教育学校(所),2018,135
广东,特殊教育专任教师数(万人),2018,0.48
广东,特殊教育招生数(万人),2018,0.91
广东,财政教育支出(亿元）,2017,2575.52
广东,特殊教育学校(所),2017,133
广东,特殊教育专任教师数(万人),2017,0.45
广东,特殊教育招生数(万人),2017,0.89
广东,财政教育支出(亿元）,2016,2318.47
广东,特殊教育学校(所),2016,127
广东,特殊教育专任教师数(万人),2016,0.41
广东,特殊教育招生数(万人),2016,0.69
广东,财政教育支出(亿元）,2015,2040.65
广东,特殊教育学校(所),2015,116
广东,特殊教育专任教师数(万人),2015,0.36
广东,特殊教育招生数(万人),2015,0.73
